Start time,End time,Duration,Duration.1,Rental_Place,Return_Place,START LAT,START LONG,END LAT,END LONG
2018-01-04T08:56:00.000Z,2018-01-04T09:00:00.000Z,231,3.85,RAPLOCH COMMUNITY CAMPUS,CASTLE BUSINESS PARK / LOMOND COURT,56.1298,-3.94921,56.1282,-3.96029
2018-01-04T08:56:00.000Z,2018-01-04T08:57:00.000Z,29,0.48,CASTLEVIEW PARK & RIDE,CASTLEVIEW PARK & RIDE,56.13104,-3.96703,56.13104,-3.96703
2018-01-04T09:09:00.000Z,2018-01-04T09:20:00.000Z,664,11.07,BORESTONE ROUNDABOUT,PORT STREET,56.10034,-3.93702,56.11538,-3.93741
2018-01-04T09:59:00.000Z,2018-01-04T11:12:00.000Z,4400,73.33,CAUSEWAYHEAD ROUNDABOUT,BRIDGE OF ALLAN TRAIN STATION,56.13829,-3.92392,56.15685,-3.95705
2018-01-04T11:35:00.000Z,2018-01-04T11:42:00.000Z,447,7.45,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",BRIDGE OF ALLAN,56.14397,-3.92084,56.15297,-3.94723
2018-01-04T11:39:00.000Z,2018-01-04T12:23:00.000Z,2654,44.23,RAPLOCH COMMUNITY CAMPUS,RAPLOCH COMMUNITY CAMPUS,56.1298,-3.94921,56.1298,-3.94921
2018-01-04T12:24:00.000Z,2018-01-04T12:33:00.000Z,499,8.32,THE BACK WALK,TEITH HOUSE,56.11781,-3.93948,56.11289,-3.92586
2018-01-04T13:45:00.000Z,2018-01-04T13:55:00.000Z,564,9.4,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",OLD STIRLING BRIDGE,56.14917,-3.92151,56.12954,-3.93506
2018-01-04T14:28:00.000Z,2018-01-04T14:41:00.000Z,772,12.87,OLD STIRLING BRIDGE,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",56.12954,-3.93506,56.14917,-3.92151
2018-01-04T15:07:00.000Z,2018-01-04T15:19:00.000Z,731,12.18,CAUSEWAYHEAD ROUNDABOUT,TRAIN STATION,56.13829,-3.92392,56.11945,-3.93537
2018-01-04T15:36:00.000Z,2018-01-04T15:46:00.000Z,570,9.5,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392
2018-01-04T16:34:00.000Z,2018-01-04T16:47:00.000Z,774,12.9,CASTLE BUSINESS PARK / LOMOND COURT,TRAIN STATION,56.1282,-3.96029,56.11945,-3.93537
2018-01-04T16:48:00.000Z,2018-01-04T16:59:00.000Z,652,10.87,CASTLE BUSINESS PARK / LOMOND COURT,TRAIN STATION,56.1282,-3.96029,56.11945,-3.93537
2018-01-04T17:08:00.000Z,2018-01-04T17:18:00.000Z,624,10.4,THE BACK WALK,CASTLEVIEW PARK & RIDE,56.11781,-3.93948,56.13104,-3.96703
2018-01-04T17:14:00.000Z,2018-01-04T17:23:00.000Z,538,8.97,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",BRIDGE OF ALLAN TRAIN STATION,56.14397,-3.92084,56.15685,-3.95705
2018-01-04T17:48:00.000Z,2018-01-04T17:58:00.000Z,582,9.7,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392
2018-01-04T19:10:00.000Z,2018-01-04T19:20:00.000Z,595,9.92,RAPLOCH COMMUNITY CAMPUS,MURRAY PLACE,56.1298,-3.94921,56.11901,-3.93656
