start_time,end_time,duration,duration_mins,rental_place,return_place,start_lat,start_long,end_lat,end_long,trip_duration_minutes,year,month,hour,weekday,is_peak_hour,is_weekend
2018-01-04 08:31:00+00:00,2018-01-04 08:41:00+00:00,585,9.75,BRIDGE OF ALLAN TRAIN STATION,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",56.15685,-3.95705,56.14397,-3.92084,10,2018,1,8,Thursday,1,0
2018-01-04 08:56:00+00:00,2018-01-04 09:00:00+00:00,231,3.85,RAPLOCH COMMUNITY CAMPUS,CASTLE BUSINESS PARK / LOMOND COURT,56.1298,-3.94921,56.1282,-3.96029,4,2018,1,8,Thursday,1,0
2018-01-04 08:56:00+00:00,2018-01-04 08:57:00+00:00,29,0.48,CASTLEVIEW PARK & RIDE,CASTLEVIEW PARK & RIDE,56.13104,-3.96703,56.13104,-3.96703,1,2018,1,8,Thursday,1,0
2018-01-04 09:09:00+00:00,2018-01-04 09:20:00+00:00,664,11.07,BORESTONE ROUNDABOUT,PORT STREET,56.10034,-3.93702,56.11538,-3.93741,11,2018,1,9,Thursday,1,0
2018-01-04 11:35:00+00:00,2018-01-04 11:42:00+00:00,447,7.45,"COTTRELL BUILDING (LOGIE ENTRANCE), UNIVERSITY OF STIRLING",BRIDGE OF ALLAN,56.14397,-3.92084,56.15297,-3.94723,7,2018,1,11,Thursday,0,0
2018-01-04 12:24:00+00:00,2018-01-04 12:33:00+00:00,499,8.32,THE BACK WALK,TEITH HOUSE,56.11781,-3.93948,56.11289,-3.92586,9,2018,1,12,Thursday,0,0
2018-01-04 13:45:00+00:00,2018-01-04 13:55:00+00:00,564,9.4,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",OLD STIRLING BRIDGE,56.14917,-3.92151,56.12954,-3.93506,10,2018,1,13,Thursday,0,0
2018-01-04 14:28:00+00:00,2018-01-04 14:41:00+00:00,772,12.87,OLD STIRLING BRIDGE,"WILLOW COURT RESIDENCES, UNIVERSITY OF STIRLING",56.12954,-3.93506,56.14917,-3.92151,13,2018,1,14,Thursday,0,0
2018-01-04 15:07:00+00:00,2018-01-04 15:19:00+00:00,731,12.18,CAUSEWAYHEAD ROUNDABOUT,TRAIN STATION,56.13829,-3.92392,56.11945,-3.93537,12,2018,1,15,Thursday,0,0
2018-01-04 15:36:00+00:00,2018-01-04 15:46:00+00:00,570,9.5,TRAIN STATION,CAUSEWAYHEAD ROUNDABOUT,56.11945,-3.93537,56.13829,-3.92392,10,2018,1,15,Thursday,0,0
